tx_hash,block,status,from,to,method_id,gas_used,effective_gas_price_wei,effective_gas_price_gwei,fee_eth
0x91ec1512045ea37d5f8255435f56f89da42c78922a019bba5527797d07b2384b,36823253,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68369,1006716046,1.006716046,6.88282E-05
0xd0adbdc23e45b21540dc2c263d727318d087c21e919f57b2f14242f14a453ae9,36823257,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68381,1006856394,1.006856394,6.88498E-05
0x50a76c9e951704b788a9e841b3a12793d59a2c62b2f4e032eb3811c630b5d054,36823262,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68369,1006837135,1.006837135,6.88364E-05
0xb07c2fbf36ddd5684c144a2e23125f5b58c5de547c6305ec31bc71ddd4586d50,36823265,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',51269,1006761609,1.006761609,5.16157E-05
0x981efa31a39faa313d57554373d89815c6c76d17111464e2c3e7d595aa989257,36823268,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68369,1006660820,1.00666082,6.88244E-05
0x72c2526e52c57ff2b5d67700e142e23166f89e76d52f654f664b5e1dfb2b0ada,36823272,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68369,1006569970,1.00656997,6.88182E-05
0x6101c56521abe58542d5406f272d5c5ebeaebdbd3667b15e1967df065dfafba1,36823275,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68369,1006464652,1.006464652,6.8811E-05
0x44ecd8dad6dab0e0de212d0e44ccf14354205e21c662bbf3c997cdea595c9697,36823278,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68381,1006419921,1.006419921,6.882E-05
0x8c42845855472a3705a33e018e3260e323140ede18afabc7de9ef6c5f2c84e28,36823282,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68381,1006504940,1.00650494,6.88258E-05
0x7a401bf0d557856f3614f51003567376ca6c7d20c9b8a4e1c25a843ef4c3b8e2,36823285,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68393,1006515420,1.00651542,6.88386E-05
0xeb92946d604eb041972599965bfa4793cdfc014233d9212bb51b4e84b5f0d55c,36823290,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',51269,1006420519,1.006420519,5.15982E-05
0x2b3f9a1bb9683ebbdb9d1aea2aeb04899446111461d9b2fc3ca2c729395d7dd6,36823294,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68357,1006254502,1.006254502,6.87845E-05
0xb24e407d76aff552f6b521c45e62a5433686694d5b48bf921dccabb5fb1be4da,36823298,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68393,1006470010,1.00647001,6.88355E-05
0xa1674175de8c94d1e71f5e0f6417d80d11d868ae55b4b817ed53806e2ce87db2,36823302,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68369,1006439468,1.006439468,6.88093E-05
0x84e61e6e4a503066e94b26404ab4a03ef9d27302b8180943e76f53355505bd16,36823306,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',68369,1006399913,1.006399913,6.88066E-05
0xe0fc409e304ffd4087af9ed90ea2242b1e9f478f49b43b40a3e3ca0ab670ffab,36823310,1,0x4106DBe31e9cf790D4dD221E627BDe55c8de195E,0x164239FA94aec9c4e437Bf6890ea8602b759fd74,b'\xa9\x05\x9c\xbb\x00\x00\x00\x00\x00\x00',51269,1006326004,1.006326004,5.15933E-05
,,,,,,,,,
